"network_id" "kind" "rep" "mu" "c" "alpha" "alpha.out" "beta" "eigen.ratio" "R_init" "R_predicted" "x_bar" "x_reduced" "R_alternative_1" "R_alternative_2"
"113" "ER_10" "Erdos-Renyi" 1 0.12 0.1 0.120799440353216 0.123138522835139 1.00635664180155 1.48223227500282 5.78846065721605 29.8955348169753 29.8381991269548 29.7571097340064 0 29.8955073041564
"114" "ER_10" "Erdos-Renyi" 1 0.12 0.1 0.120799440353216 0.123138522835139 1.00635664180155 1.48223227500282 8.88381226017794 29.8955348169753 29.8381991269548 29.7571097340064 0 29.8955073041564
"115" "ER_10" "Erdos-Renyi" 1 0.12 0.1 0.120799440353216 0.123138522835139 1.00635664180155 1.48223227500282 15.7413022053066 29.8955348169753 29.8381991269548 29.7571097340064 0 29.8955073041564
"116" "ER_10" "Erdos-Renyi" 1 0.12 0.1 0.120799440353216 0.123138522835139 1.00635664180155 1.48223227500282 13.8910264525544 29.8955348169753 29.8381991269548 29.7571097340064 0 29.8955073041564
"117" "ER_10" "Erdos-Renyi" 1 0.12 0.1 0.120799440353216 0.123138522835139 1.00635664180155 1.48223227500282 18.2331960807361 29.8955348169753 29.8381991269548 29.7571097340064 0 29.8955073041564
"118" "ER_10" "Erdos-Renyi" 1 0.12 0.1 0.120799440353216 0.123138522835139 1.00635664180155 1.48223227500282 22.4176455710736 29.8955348169753 29.8381991269548 29.7571097340064 0 29.8955073041564
"119" "ER_10" "Erdos-Renyi" 1 0.12 0.1 0.120799440353216 0.123138522835139 1.00635664180155 1.48223227500282 28.6298627233676 29.8955348169753 29.8381991269548 29.7571097340064 0 29.8955073041564
"120" "ER_10" "Erdos-Renyi" 1 0.12 0.1 0.120799440353216 0.123138522835139 1.00635664180155 1.48223227500282 28.6472958816142 29.8955348169753 29.8381991269548 29.7571097340064 0 29.8955073041564
"121" "ER_10" "Erdos-Renyi" 1 0.23 0.1 0.231532260676998 0.236015502100684 1.00635664180155 1.48223227500282 0.535725490056341 4.9559369264726e-45 1.34210306523413e-42 1.31333154234986e-42 0 29.7990542270796
"122" "ER_10" "Erdos-Renyi" 1 0.23 0.1 0.231532260676998 0.236015502100684 1.00635664180155 1.48223227500282 3.32637443549045 29.7990542262547 29.4484826188463 29.2808498327872 0 29.7990542270796
"123" "ER_10" "Erdos-Renyi" 1 0.23 0.1 0.231532260676998 0.236015502100684 1.00635664180155 1.48223227500282 6.55997911991264 29.7990542262547 29.4484826188463 29.2808498327872 0 29.7990542270796
"124" "ER_10" "Erdos-Renyi" 1 0.23 0.1 0.231532260676998 0.236015502100684 1.00635664180155 1.48223227500282 8.70315978891696 29.7990542262547 29.4484826188463 29.2808498327872 0 29.7990542270796
"125" "ER_10" "Erdos-Renyi" 1 0.23 0.1 0.231532260676998 0.236015502100684 1.00635664180155 1.48223227500282 12.7395651387226 29.7990542262547 29.4484826188463 29.2808498327872 0 29.7990542270796
"126" "ER_10" "Erdos-Renyi" 1 0.23 0.1 0.231532260676998 0.236015502100684 1.00635664180155 1.48223227500282 15.700834486348 29.7990542262547 29.4484826188463 29.2808498327872 0 29.7990542270796
