"network_id" "kind" "rep" "mu" "c" "alpha" "alpha.out" "beta" "eigen.ratio" "R_init" "R_predicted" "x_bar" "x_reduced" "R_alternative_1" "R_alternative_2"
"119" "RGG_3" "RGG" 1 0.12 0.1 0.118615190293837 0.119401613045483 1.00503248496231 1.53699921695639 22.7072902712845 29.9536768722756 29.9203823217607 29.8956306286768 0 29.9536708105424
"120" "RGG_3" "RGG" 1 0.12 0.1 0.118615190293837 0.119401613045483 1.00503248496231 1.53699921695639 30.2937166277097 29.9536768722756 29.9203823217607 29.8956306286768 0 29.9536708105424
"121" "RGG_3" "RGG" 1 0.23 0.1 0.227345781396522 0.228853091670509 1.00503248496231 1.53699921695638 1.13828981742346 2.82714080449204e-43 6.83553429868845e-41 6.79524005894637e-41 0 29.911052868923
"122" "RGG_3" "RGG" 1 0.23 0.1 0.227345781396522 0.228853091670509 1.00503248496231 1.53699921695638 3.28702617678794 29.9110734464189 29.7611850666048 29.7163719630623 0 29.911052868923
"123" "RGG_3" "RGG" 1 0.23 0.1 0.227345781396522 0.228853091670509 1.00503248496231 1.53699921695638 7.34384011930069 29.9110734464189 29.7611850666048 29.7163719630623 0 29.911052868923
"124" "RGG_3" "RGG" 1 0.23 0.1 0.227345781396522 0.228853091670509 1.00503248496231 1.53699921695638 10.4906960892367 29.9110734464189 29.7611850666048 29.7163719630623 0 29.911052868923
"125" "RGG_3" "RGG" 1 0.23 0.1 0.227345781396522 0.228853091670509 1.00503248496231 1.53699921695638 12.3330886007779 29.9110734464189 29.7611850666048 29.7163719630623 0 29.911052868923
"126" "RGG_3" "RGG" 1 0.23 0.1 0.227345781396522 0.228853091670509 1.00503248496231 1.53699921695638 18.0083480476854 29.9110734464189 29.7611850666048 29.7163719630623 0 29.911052868923
"127" "RGG_3" "RGG" 1 0.23 0.1 0.227345781396522 0.228853091670509 1.00503248496231 1.53699921695638 17.9763908432102 29.9110734464189 29.7611850666048 29.7163719630623 0 29.911052868923
"128" "RGG_3" "RGG" 1 0.23 0.1 0.227345781396522 0.228853091670509 1.00503248496231 1.53699921695638 25.4050240457097 29.9110734464189 29.7611850666048 29.7163719630623 0 29.911052868923
"129" "RGG_3" "RGG" 1 0.23 0.1 0.227345781396522 0.228853091670509 1.00503248496231 1.53699921695638 26.7128458842046 29.9110734464189 29.7611850666048 29.7163719630623 0 29.911052868923
"130" "RGG_3" "RGG" 1 0.23 0.1 0.227345781396522 0.228853091670509 1.00503248496231 1.53699921695638 30.5459974682695 29.9110734464189 29.7611850666048 29.7163719630623 0 29.911052868923
